time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0,8.3211364615633,8.3211364615633,0,0.5,0.5,3,3,3,0,0
0.0001,1.3605058114656e-07,8.3211361894621,8.3211363255127,0.000981,0.5,0.5,2.9999999019,2.9999999019,2.9999999019,0,0
0.0002,5.4420232458624e-07,8.3211356452598,8.3211361894621,0.001962,0.5,0.5,2.9999997057,2.9999997057,2.9999997057,0,0
0.0003,1.224455230319e-06,8.3211348289563,8.3211360534115,0.002943,0.5,0.5,2.9999994114,2.9999994114,2.9999994114,0,0
0.0004,2.176809298345e-06,8.3211337405517,8.321135917361,0.003924,0.5,0.5,2.999999019,2.999999019,2.999999019,0,0
0.0005,3.401264528664e-06,8.3211323800458,8.3211357813104,0.004905,0.5,0.5,2.9999985285,2.9999985285,2.9999985285,0,0
0.0006,4.8978209212761e-06,8.3211307474389,8.3211356452598,0.005886,0.5,0.5,2.9999979399,2.9999979399,2.9999979399,0,0
0.0007,6.6664784761814e-06,8.3211288427307,8.3211355092092,0.006867,0.5,0.5,2.9999972532,2.9999972532,2.9999972532,0,0
0.0008,8.7072371933798e-06,8.3211266659214,8.3211353731586,0.007848,0.5,0.5,2.9999964684,2.9999964684,2.9999964684,0,0
0.0009,1.1020097072871e-05,8.321124217011,8.3211352371081,0.008829,0.5,0.5,2.9999955855,2.9999955855,2.9999955855,0,0
0.001,1.3605058114656e-05,8.3211214959994,8.3211351010575,0.00981,0.5,0.5,2.9999946045,2.9999946045,2.9999946045,0,0
0.0011,1.6462120318734e-05,8.3211185028866,8.3211349650069,0.010791,0.5,0.5,2.9999935254,2.9999935254,2.9999935254,0,0
0.0012,1.9591283685105e-05,8.3211152376726,8.3211348289563,0.011772,0.5,0.5,2.9999923482,2.9999923482,2.9999923482,0,0
0.0013,2.2992548213769e-05,8.3211117003575,8.3211346929057,0.012753,0.5,0.5,2.9999910729,2.9999910729,2.9999910729,0,0
0.0014,2.6665913904726e-05,8.3211078909412,8.3211345568551,0.013734,0.5,0.5,2.9999896995,2.9999896995,2.9999896995,0,0
0.0015,3.0611380757976e-05,8.3211038094238,8.3211344208046,0.014715,0.5,0.5,2.999988228,2.999988228,2.999988228,0,0
