time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0.21150443090151,1192.1979412896,1192.4094457205,0.083508104758166,0.50013828792245,0.50263050294998,0.71636725752331,0.98474670251951,0.4501052773761,0,0
0.0001,28.326040526969,1192.1978604184,1220.5239009453,2.5578597761813,0.50013829634697,0.50263048864854,0.71636720892946,0.98474191065028,0.45010668368099,2689,12497500
0.0002,88.997124374443,1192.1976162865,1281.1947406609,4.2282521899543,0.50013830477148,0.50263047434711,0.71636706223562,0.98473702068106,0.45010799188588,2611,12497500
0.0003,160.07817122458,1192.1972088939,1352.2753801185,5.5271493529905,0.50013831319599,0.50263046004567,0.71636681744178,0.98473203261184,0.45010814134341,2539,12497500
0.0004,229.98403392937,1192.1966382406,1422.18067217,6.4206708809383,0.5001383216205,0.50263044574424,0.71636647454794,0.98491199458041,0.450107899664,2479,12497500
0.0005,292.71788575293,1192.1959043266,1484.9137900795,7.0047799435683,0.50013833004502,0.50263043565185,0.71636603355411,0.9851214534719,0.45010755988459,2422,12497500
0.0006,345.0935621512,1192.1950007493,1537.2885629005,7.4316706395972,0.50013833846953,0.50263043001987,0.71636549061303,0.98533117919581,0.45010531156542,2380,12497500
0.0007,385.67420463667,1192.1939181594,1577.8681227961,7.7198546070005,0.50013834689404,0.50263042893772,0.71636484010701,0.98553511379965,0.44979579149321,2320,12497500
0.0008,414.275195509,1192.1926558579,1606.4678513669,8.025828981078,0.50013836396811,0.50263042838919,0.71636408161595,0.98572830460012,0.44946866938515,2261,12497500
0.0009,431.92480246252,1192.1911964398,1624.1159989023,8.3284268926663,0.50013838841472,0.50263042832166,0.7163632046816,0.98591794137785,0.44912865835895,2163,12497500
0.001,441.34553207305,1192.1895400779,1633.5350721509,8.5527579143243,0.50013841468857,0.50263042529225,0.71636220940775,0.98617048444041,0.44877995484646,1430,12497500
0.0011,446.51797491956,1192.1876783111,1638.7056532306,8.707686044512,0.50013844284619,0.50263041934038,0.71636109071031,0.98640083717046,0.44842627946793,1201,12497500
0.0012,448.95791376534,1192.1856124031,1641.1435261684,8.8010515264895,0.50013846785258,0.50263042132737,0.71635984934863,0.98660639834522,0.44807091275242,1008,12497500
0.0013,449.57549018035,1192.1833377055,1641.7588278858,8.841486383951,0.5001384898993,0.50263043098706,0.71635848252956,0.98678571607927,0.4477154479369,872,12497500
0.0014,449.26612192772,1192.1808561076,1641.4469780353,8.8418132927047,0.50013850917079,0.50263044516373,0.71635699138836,0.98693855441341,0.44735988502138,729,12497500
0.0015,448.14414689677,1192.1781585878,1640.3223054846,8.4367217467514,0.50013853207071,0.50263046364691,0.71635537050411,0.9870663537156,0.44700422400586,637,12497500
0.0016,446.66810942588,1192.1752475126,1638.8433569384,8.4267624418175,0.50013856626586,0.50263049076532,0.71635362129879,0.98717057459304,0.44664846489034,569,12497500
0.0017,445.00877073324,1192.1721235838,1637.1808943171,8.4265322353137,0.50013861844665,0.50263052029552,0.71635174419417,0.98725268749296,0.44629260767482,515,12497500
0.0018,443.3479237878,1192.1687893633,1635.5167131511,8.4263021367299,0.50013868854078,0.50263053627294,0.71634974072956,0.98734532902182,0.4459366523593,469,12497500
0.0019,441.76728539202,1192.1652474605,1633.9325328526,8.4260721460749,0.50013877594295,0.50263053896707,0.7163476124729,0.98741738763876,0.44558059894378,442,12497500
0.002,439.83804107814,1192.1615005148,1631.999541593,8.4258422633574,0.5001388795201,0.50263052870182,0.71634536101019,0.9874687271754,0.44522444742826,432,12497500
0.0021,438.22328241533,1192.1575511788,1630.3808335942,8.4256124885865,0.50013899857263,0.5026305058489,0.7163429879353,0.98750087697321,0.44486819781274,414,12497500
0.0022,436.43246353515,1192.1533876386,1628.5858511738,8.4253828217707,0.50013913236236,0.50263047082132,0.71634048614949,0.98751534426653,0.44451185009722,407,12497500
0.0023,434.46642518817,1192.1490129623,1626.6154381505,8.4251532629192,0.50013927824666,0.50263042406736,0.71633785749636,0.98751360725273,0.4441554042817,406,12497500
0.0024,432.61121899968,1192.1444219443,1624.755640944,8.4249238120405,0.50013943549154,0.50263036606476,0.71633509884793,0.98749710894618,0.44379886036618,406,12497500
0.0025,430.68172575427,1192.1395980005,1622.8213237547,8.4246944691436,0.50013960335076,0.50263029927227,0.71633220023914,0.98746725178309,0.44344221835066,404,12497500
