time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0.004403240296978,24.460422497323,24.46482573762,0.079027493488314,0.49135221275115,0.52867256949696,0.71766433153034,0.98357857564243,0.45064115787108,0,0
0.0001,0.043798749631689,24.460426082773,24.504224832404,1.5235704591089,0.49135245518034,0.5286726216189,0.71766443672678,0.98357384424623,0.45064156386709,2,22
0.0002,0.11769821632932,24.460426324644,24.578124540973,2.5717565824854,0.49135269760953,0.52867267374085,0.71766444382322,0.98356901475003,0.4506418717631,2,22
0.0003,0.18690378282773,24.460423222935,24.647327005763,3.2597266195699,0.49135294003872,0.5286727258628,0.71766435281966,0.98356408715383,0.45064208155911,2,22
0.0004,0.23662498301083,24.460416777648,24.697041760659,3.6753274246475,0.49135318246792,0.52867277798475,0.71766416371611,0.98355906145763,0.45064219325512,2,22
0.0005,0.26424975289653,24.460406988781,24.724656741678,3.8874003292692,0.49135342489711,0.5286728301067,0.71766387651255,0.98355393766143,0.45064220685113,2,22
0.0006,0.27258286654724,24.460393856336,24.732976722883,3.9496600157116,0.4913536673263,0.52867288222865,0.71766349120899,0.98354871576522,0.45064212234714,1,22
0.0007,0.27259767078239,24.460377380311,24.732975051093,3.950439850447,0.49135390975549,0.5286729343506,0.71766300780544,0.98354339576902,0.45064193974315,0,22
0.0008,0.27261581859662,24.460357560707,24.732973379304,3.9512197748305,0.49135415218468,0.52867298647255,0.71766242630188,0.98353797767282,0.45064165903916,0,22
0.0009,0.27263730998994,24.460334397524,24.732971707514,3.9519997888088,0.49135439461387,0.5286730385945,0.71766174669832,0.98353246147662,0.45064128023517,0,22
0.001,0.27266214496233,24.460307890762,24.732970035725,3.952779892329,0.49135463704307,0.52867309071645,0.71766096899476,0.98352684718042,0.45064080333118,0,22
0.0011,0.27269032351381,24.460278040421,24.732968363935,3.953560085338,0.49135487947226,0.52867314283839,0.71766009319121,0.98352113478422,0.45064022832719,0,22
0.0012,0.27272184564437,24.460244846501,24.732966692146,3.9543403677829,0.49135512190145,0.52867319496034,0.71765911928765,0.98351532428801,0.4506395552232,0,22
0.0013,0.27275671135402,24.460208309002,24.732965020356,3.9551207396108,0.49135536433064,0.52867324708229,0.71765804728409,0.98350941569181,0.45063878401921,0,22
0.0014,0.27279492064274,24.460168427924,24.732963348566,3.9559012007686,0.49135560675983,0.52867329920424,0.71765687718053,0.98350340899561,0.45063791471522,0,22
0.0015,0.27283647351055,24.460125203266,24.732961676777,3.9566817512037,0.49135584918902,0.52867335132619,0.71765560897698,0.98349730419941,0.45063694731123,0,22
0.0016,0.27288136995744,24.46007863503,24.732960004987,3.9574623908631,0.49135609161822,0.52867340344814,0.71765424267342,0.98349110130321,0.45063588180724,0,22
0.0017,0.27292960998341,24.460028723214,24.732958333198,3.958243119694,0.49135633404741,0.52867345557009,0.71765277826986,0.98348480030701,0.45063471820325,0,21
0.0018,0.27298119358846,24.45997546782,24.732956661408,3.9590239376438,0.4913565764766,0.52867350769204,0.71765121576631,0.98347840121081,0.45063345649926,0,21
0.0019,0.2730361207726,24.459918868846,24.732954989619,3.9598048446597,0.49135681890579,0.52867355981399,0.71764955516275,0.9834719040146,0.45063209669527,0,21
0.002,0.27309439153582,24.459858926293,24.732953317829,3.9605858406889,0.49135706133498,0.52867361193594,0.71764779645919,0.9834653087184,0.45063063879128,0,21
0.0021,0.27315600587812,24.459795640162,24.73295164604,3.961366925679,0.49135730376417,0.52867366405788,0.71764593965564,0.9834586153222,0.45062908278729,0,21
0.0022,0.2732209637995,24.459729010451,24.73294997425,3.9621480995771,0.49135754619337,0.52867371617983,0.71764398475208,0.983451823826,0.4506274286833,0,21
0.0023,0.27328926529997,24.459659037161,24.732948302461,3.9629293623309,0.49135778862256,0.52867376830178,0.71764193174852,0.9834449342298,0.45062567647931,0,21
