time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5,0.6,0.7,0.7,0.7,0,0
0.0002,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50016,0.59993,0.7001,0.7001,0.7001,0,0
0.0004,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50032,0.59986,0.7002,0.7002,0.7002,0,0
0.0006,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50048,0.59979,0.7003,0.7003,0.7003,0,0
0.0008,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50064,0.59972,0.7004,0.7004,0.7004,0,0
0.001,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5008,0.59965,0.7005,0.7005,0.7005,0,0
0.0012,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50096,0.59958,0.7006,0.7006,0.7006,0,0
0.0014,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50112,0.59951,0.7007,0.7007,0.7007,0,0
0.0016,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50128,0.59944,0.7008,0.7008,0.7008,0,0
0.0018,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50144,0.59937,0.7009,0.7009,0.7009,0,0
0.002,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5016,0.5993,0.701,0.701,0.701,0,0
0.0022,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50176,0.59923,0.7011,0.7011,0.7011,0,0
0.0024,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50192,0.59916,0.7012,0.7012,0.7012,0,0
0.0026,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50208,0.59909,0.7013,0.7013,0.7013,0,0
0.0028,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50224,0.59902,0.7014,0.7014,0.7014,0,0
0.003,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5024,0.59895,0.7015,0.7015,0.7015,0,0
0.0032,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50256,0.59888,0.7016,0.7016,0.7016,0,0
0.0034,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50272,0.59881,0.7017,0.7017,0.7017,0,0
0.0036,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50288,0.59874,0.7018,0.7018,0.7018,0,0
0.0038,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50304,0.59867,0.7019,0.7019,0.7019,0,0
0.004,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5032,0.5986,0.702,0.702,0.702,0,0
0.0042,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50336,0.59853,0.7021,0.7021,0.7021,0,0
0.0044,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50352,0.59846,0.7022,0.7022,0.7022,0,0
0.0046,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50368,0.59839,0.7023,0.7023,0.7023,0,0
0.0048,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50384,0.59832,0.7024,0.7024,0.7024,0,0
0.005,0.14313881527918,0,0.14313881527918,1.0062305898749,0.504,0.59825,0.7025,0.7025,0.7025,0,0
0.0052,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50416,0.59818,0.7026,0.7026,0.7026,0,0
0.0054,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50432,0.59811,0.7027,0.7027,0.7027,0,0
0.0056,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50448,0.59804,0.7028,0.7028,0.7028,0,0
0.0058,0.14313881527918,0,0.14313881527918,1.0062305898749,0.50464,0.59797,0.7029,0.7029,0.7029,0,0
0.006,0.14313881527918,0,0.14313881527918,1.0062305898749,0.5048,0.5979,0.703,0.703,0.703,0,0
