time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0.17122510154864,1919.5993334112,1919.7705585128,0.083345182727389,1.0034308603937,1.0137948680974,1.4418097683217,1.9843409880287,0.90031692796512,0,0
0.0001,2.3073738748525,1919.5992883701,1921.9066622449,1.629004098517,1.0034308294305,1.0137948486264,1.4418097344913,1.9843450251631,0.9003166699398,188,7998000
0.0002,7.1404077538701,1919.5991127204,1926.7395204742,2.8552336468091,1.0034307984674,1.0137948291554,1.4418096025609,1.9843489641976,0.90031631381449,187,7998000
0.0003,12.954219784234,1919.5988064621,1932.5530262463,3.8266797207307,1.0034307675042,1.0137948096843,1.4418093725305,1.9843528051321,0.90031585958917,185,7998000
0.0004,18.715609881049,1919.5983695952,1938.3139794763,4.6016043226674,1.003430736541,1.0137947902133,1.4418090444001,1.9843565479665,0.90031530726386,184,7998000
0.0005,23.792865136898,1919.5978021198,1943.3906672567,5.1857353916106,1.0034307055779,1.0137947707423,1.4418086181697,1.984360192701,0.90031465683854,183,7998000
0.0006,27.854212041799,1919.5971040359,1947.4513160777,5.605929020896,1.0034306746147,1.0137947512713,1.4418080938393,1.9843637393355,0.90031390831323,182,7998000
0.0007,30.773348785201,1919.5962753434,1950.3696241286,5.8862283938205,1.0034306436516,1.0137947318003,1.4418074714089,1.98436718787,0.90031306168791,182,7998000
0.0008,32.560186969099,1919.5953160423,1952.1555030114,6.0480754956674,1.0034306126884,1.0137947123293,1.4418067508785,1.9843705383044,0.9003121169626,179,7998000
0.0009,33.309262806973,1919.5942261327,1952.9034889396,6.1105175991229,1.0034305817252,1.0137946928583,1.4418059322481,1.9843737906389,0.90031107413728,177,7998000
0.001,33.361339025156,1919.5930056145,1952.9543446396,6.1112485044091,1.0034305507621,1.0137946733873,1.4418050155178,1.9843769448734,0.90030993321197,19,7998000
0.0011,33.354539448151,1919.5916544877,1952.9461939359,6.1119794797443,1.0034305251068,1.0137946539163,1.4418040006874,1.9843800010079,0.90030869418665,9,7998000
0.0012,33.33013737277,1919.5901727524,1952.9203101252,6.1127105251035,1.0034305046109,1.0137946344452,1.441802887757,1.9843829590423,0.90030735706134,4,7998000
0.0013,33.311027571042,1919.5885604086,1952.8995879796,6.1134416404615,1.0034304891085,1.0137946149742,1.4418016767266,1.9843858189768,0.90030592183602,4,7998000
0.0014,33.275836009479,1919.5868174562,1952.8626534656,6.1141728257932,1.0034304784191,1.0137945955032,1.4418003675962,1.9843885808113,0.90030438851071,5,7998000
0.0015,33.250033595689,1919.5849438952,1952.8349774909,6.1149040810735,1.0034304723497,1.0137945760322,1.4417989603658,1.9843912445458,0.90030275708539,4,7998000
0.0016,33.231996099455,1919.5829397257,1952.8149358251,6.1156354062773,1.0034304706972,1.0137945565612,1.4417974550354,1.9843975042523,0.90030102756008,3,7998000
0.0017,33.204542675813,1919.5808049476,1952.7853476234,6.1163668013795,1.0034304732503,1.0137945370902,1.441795851605,1.9844280729692,0.90029919993476,4,7998000
0.0018,33.18597477119,1919.5785395609,1952.7645143321,6.1170982663551,1.0034304797916,1.0137945176192,1.4417941500746,1.9844585435862,0.90029727420945,4,7998000
0.0019,33.174058719489,1919.5761435657,1952.7502022852,6.117829801179,1.0034304900997,1.0137944981482,1.4417923504443,1.9844889161031,0.90029525038413,4,7998000
0.002,33.167061261825,1919.5736169619,1952.7406782238,6.1185614058262,1.0034305039501,1.0137944786772,1.4417904527139,1.9845191905201,0.90029312845882,4,7998000
0.0021,33.16365068697,1919.5709597496,1952.7346104366,6.1192930802715,1.0034305211177,1.0137944592062,1.4417884568835,1.9845493668371,0.9002909084335,4,7998000
0.0022,33.162814684714,1919.5681719287,1952.7309866135,6.12002482449,1.0034305413774,1.0137944397352,1.4417863629531,1.984579445054,0.90028859030819,4,7998000
0.0023,33.163792725065,1919.5652534993,1952.7290462244,6.1207566384567,1.0034305645061,1.0137944202641,1.4417841709227,1.984609425171,0.90028617408288,4,7998000
