time,kinetic_energy,potential_energy,total_energy,max_speed,com_x,com_y,com_z,max_height,min_height,active_contacts,candidate_pairs
0,0.042196438230682,240.64372719588,240.68592363411,0.080908193588073,0.50408529751891,0.49413570421683,0.72298936661915,0.98485386999912,0.45210620726521,0,0
0.0001,0.89402267311099,240.64365245201,241.53767512513,1.6319873909168,0.50408523354226,0.49413563336645,0.72298914205888,0.98485385238546,0.45210227569557,106,499500
0.0002,2.8307860554089,240.64354505601,243.47433111142,2.9008597393486,0.50408516956562,0.49413556251606,0.72298881939861,0.9848537366718,0.45209824602594,104,499500
0.0003,5.1690121516583,240.64340500786,245.81241715952,3.9282763741332,0.50408510558897,0.49413549166567,0.72298839863834,0.98485352285814,0.45209411825631,104,499500
0.0004,7.4808444869326,240.64323230758,248.12407679451,4.7476728239344,0.50408504161233,0.49413542081529,0.72298787977807,0.98485321094448,0.45208989238668,104,499500
0.0005,9.5163068900648,240.64302695516,250.15933384522,5.3875560916513,0.50408497763568,0.4941353499649,0.7229872628178,0.98485280093082,0.45208556841704,104,499500
0.0006,11.150528286918,240.64278895059,251.79331723751,5.872370143502,0.50408491365904,0.49413527911452,0.72298654775753,0.98485229281716,0.45208114634741,103,499500
0.0007,12.336103627497,240.64251829389,252.97862192139,6.2232382366458,0.50408484968239,0.49413520826413,0.72298573459726,0.9848516866035,0.45207662617778,103,499500
0.0008,13.077664004646,240.64221498505,253.71987898969,6.4585692550217,0.50408478570575,0.49413513741374,0.72298482333699,0.98485098228984,0.45207200790814,100,499500
0.0009,13.41215052181,240.64187902407,254.05402954588,6.5945429600511,0.50408472172911,0.49413506656336,0.72298381397672,0.98485017987618,0.45206729153851,100,499500
0.001,13.466931107335,240.64151041095,254.10844151828,6.6454908151301,0.50408465775246,0.49413499571297,0.72298270651645,0.98484927936252,0.45206247706888,20,499500
0.0011,13.490046295324,240.64110914568,254.13115544101,6.6445721522492,0.50408459377581,0.49413492486259,0.72298150095618,0.98484828074886,0.45205756449924,14,499500
