threads,runtime_s,speedup,efficiency,contact_time_s,contact_pct
1,2.82206,1,1,2.80016,99.4821
2,1.50117,1.87991,0.939957,1.48395,99.0772
4,0.869191,3.24677,0.811692,0.851666,98.3136
8,0.669812,4.21322,0.526652,0.649275,97.3461
