id,x,y,z,vx,vy,vz,radius,mass
0,0.78942595266494,0.19103235298393,0.84184634421561,0,0,-0.73575000000001,0.012,0.01737175073729
1,0.59452575770214,0.44713277136727,0.47615909475259,0,0,-0.73575000000001,0.012,0.01737175073729
2,0.46022691454568,0.3376996048422,0.49923493365589,0,0,-0.73575000000001,0.012,0.01737175073729
3,0.64726715006378,0.067057698627024,0.81080792664532,0,0,-0.73575000000001,0.012,0.01737175073729
4,0.94495652451481,0.012466875384703,0.96374432235341,0.22602441017229,0.008368855544315,-0.6347889633383,0.012,0.01737175073729
5,0.61466195122595,0.60897348657086,0.42617426154989,0,0,-0.73575000000001,0.012,0.01737175073729
6,0.034508930274653,0.52418006993743,0.63749779355819,0,0,-0.73575000000001,0.012,0.01737175073729
7,0.057545692248304,0.96238538992711,0.54760356862296,0,0,-0.73575000000001,0.012,0.01737175073729
8,0.10043188108809,0.61554475042558,0.62813713814337,0,0,-0.73575000000001,0.012,0.01737175073729
9,0.98581699985874,0.48361413928616,0.90171438099503,-0.070001336047322,0.21433505143104,-0.51286605454583,0.012,0.01737175073729
10,0.67598015792318,0.45168727130593,0.4295091349381,0,0,-0.73575000000001,0.012,0.01737175073729
11,0.93158891219602,0.56176929791236,0.62972666787829,0,0,-0.73575000000001,0.012,0.01737175073729
12,0.027583067206969,0.23735236908107,0.55204428992549,0,0,-0.73575000000001,0.012,0.01737175073729
13,0.67886519972179,0.60735673692243,0.87063145081508,0,0,-0.73575000000001,0.012,0.01737175073729
14,0.18120389567352,0.39367515495222,0.5204156022362,0,0,-0.73575000000001,0.012,0.01737175073729
15,0.74923273503562,0.42695213638251,0.53424520262731,0,0,-0.73575000000001,0.012,0.01737175073729
16,0.56607551941406,0.042561772790835,0.87552179537598,0,0,-0.73575000000001,0.012,0.01737175073729
17,0.45096003001289,0.39766662608947,0.92091505538831,0,0,-0.73575000000001,0.012,0.01737175073729
18,0.72181746820536,0.33070379310189,0.72927144658403,0,0,-0.73575000000001,0.012,0.01737175073729
19,0.52033424363641,0.95010389999955,0.87673179907688,0,0,-0.73575000000001,0.012,0.01737175073729
20,0.77698188266432,0.47750127634542,0.74155102176815,0.47143129054067,-0.81139702346565,-0.64888331469802,0.012,0.01737175073729
21,0.9540891833818,0.60446542799524,0.57086014843438,0,0,-0.73575000000001,0.012,0.01737175073729
22,0.30116294212861,0.17330053489258,0.43078497338656,0,0,-0.73575000000001,0.012,0.01737175073729
23,0.42523984159604,0.39740436046983,0.5802692263779,0,0,-0.73575000000001,0.012,0.01737175073729
24,0.025741907858613,0.20607018552625,0.805074556122,0,0,-0.73575000000001,0.012,0.01737175073729
25,0.78321132257011,0.60341694093141,0.92072245983994,0,0,-0.73575000000001,0.012,0.01737175073729
26,0.64745118180985,0.90500064321633,0.87969334096269,0,0,-0.73575000000001,0.012,0.01737175073729
27,0.45066385819398,0.10512027330765,0.62187280869987,0,0,-0.73575000000001,0.012,0.01737175073729
28,0.66478906689573,0.66194021573602,0.74049079620045,0,0,-0.73575000000001,0.012,0.01737175073729
29,0.27911026727324,0.55765137553239,0.62276462833931,-0.069644714921614,-0.14510249574855,-1.1202745540481,0.012,0.01737175073729
30,0.96161735726112,0.84695502491603,0.81419603183487,0.017329589105745,0.090644301396509,-0.68583003233759,0.012,0.01737175073729
31,0.24232128119557,0.26192268255364,0.44412585989504,0,0,-0.73575000000001,0.012,0.01737175073729
32,0.70560698052454,0.12022944670573,0.65873562845659,0,0,-0.73575000000001,0.012,0.01737175073729
33,0.20887794536569,0.88626527180119,0.67812176839583,0,0,-0.73575000000001,0.012,0.01737175073729
