function,time_s,percent
zero_force,0.002175,0.348390
gravity,0.002171,0.347781
particle_contacts,0.002249,0.360195
wall_contacts,0.002395,0.383564
integration,0.002255,0.361204
diagnostics,0.613084,98.198866
